,t,U1,I,T1,time
558,1710854874.0,3.769,0.642,298.03438525390624,2024-03-19 13:27:54
559,1710854912.0,3.771,0.642,298.0792766113281,2024-03-19 13:28:32
560,1710854949.0,3.773,0.642,298.07100634765624,2024-03-19 13:29:09
561,1710854989.0,3.775,0.642,298.12950854492186,2024-03-19 13:29:49
562,1710855025.0,3.777,0.642,298.0835490722656,2024-03-19 13:30:25
563,1710855062.0,3.779,0.642,298.07942919921874,2024-03-19 13:31:02
564,1710855097.0,3.781,0.642,298.0835490722656,2024-03-19 13:31:37
565,1710855135.0,3.783,0.642,298.1065288085937,2024-03-19 13:32:15
566,1710855171.0,3.785,0.642,298.1494365234375,2024-03-19 13:32:51
567,1710855209.0,3.787,0.642,298.0376201171875,2024-03-19 13:33:29
568,1710855243.0,3.789,0.642,298.1598430175781,2024-03-19 13:34:03
569,1710855281.0,3.791,0.642,298.16307788085936,2024-03-19 13:34:41
570,1710855318.0,3.793,0.642,298.15050463867186,2024-03-19 13:35:18
571,1710855353.0,3.796,0.642,298.0774455566406,2024-03-19 13:35:53
572,1710855388.0,3.798,0.642,298.04817919921874,2024-03-19 13:36:28
573,1710855424.0,3.8,0.642,298.18602709960936,2024-03-19 13:37:04
574,1710855456.0,3.802,0.642,298.14009814453124,2024-03-19 13:37:36
575,1710855491.0,3.804,0.642,298.08678393554686,2024-03-19 13:38:11
576,1710855527.0,3.806,0.642,298.157859375,2024-03-19 13:38:47
